UserId,EmplId,Level,Permissions,Role,Branch,Bank,Ezor
Z173290,173290,4,045,009,0,31,0
Z173290,173290,4,115,009,0,31,0
Z068837,068837,2,52,009,012,31,31
Z068837,068837,3,3,009,012,31,31
D706478,706478,2,14,009,301,31,0
D706478,706478,2,46,009,301,31,0
D706478,706478,2,52,009,301,31,0
D706478,706478,2,26,009,301,31,0
D706478,706478,2,31,009,301,31,0
Z125741,125741,4,004,009,112,31,23
Z125741,125741,3,2,009,112,31,23
Z125741,125741,4,112,009,112,31,23
Z103217,103217,4,037,009,037,31,62
Z103217,103217,4,127,009,037,31,62
Z103217,103217,4,041,009,037,31,62
Z103217,103217,3,6,009,037,31,62
Z103217,103217,2,52,009,037,31,62
Z103217,103217,4,028,009,037,31,62
Z103217,103217,4,082,009,037,31,62
Z011169,011169,4,004,009,004,31,92
Z011169,011169,3,2,009,004,31,92
Z103608,103608,4,033,009,033,31,31
Z103608,103608,2,52,009,033,31,31
Z103608,103608,2,26,009,033,31,31
Z103608,103608,3,3,009,033,31,31
Z141372,141372,2,52,009,012,31,31
Z141372,141372,2,26,009,012,31,31
Z141372,141372,3,3,009,012,31,31
Z171832,171832,4,052,009,052,31,23
Z171832,171832,4,004,009,052,31,23
Z171832,171832,3,2,009,052,31,23
Z171832,171832,2,52,009,052,31,23
U174386,174386,4,127,009,060,31,0
U174386,174386,4,041,009,060,31,0
U174386,174386,3,6,009,060,31,0
U174386,174386,2,26,009,060,31,0
U174386,174386,4,028,009,060,31,0
U174386,174386,4,082,009,060,31,0
U087874,087874,4,127,009,060,31,0
U087874,087874,4,041,009,060,31,0
U087874,087874,3,6,009,060,31,0
U087874,087874,2,52,009,060,31,0
U087874,087874,4,028,009,060,31,0
U087874,087874,4,082,009,060,31,0
U135518,135518,4,275,009,060,31,0
U135518,135518,4,278,009,060,31,0
U135518,135518,4,287,009,060,31,0
U135518,135518,3,4,009,060,31,0
U135518,135518,3,9,009,060,31,0
U135518,135518,2,26,009,060,31,0
U135518,135518,4,018,009,060,31,0
U135518,135518,4,020,009,060,31,0
U135518,135518,4,055,009,060,31,0
U135518,135518,4,119,009,060,31,0
U135518,135518,4,067,009,060,31,0
U135518,135518,4,115,009,060,31,0
U105414,105414,3,4,009,060,31,0
U105414,105414,3,9,009,060,31,0
U105414,105414,2,52,009,060,31,0
U105414,105414,4,020,009,060,31,0
U105414,105414,4,055,009,060,31,0
U105414,105414,4,119,009,060,31,0
U086096,086096,3,4,009,060,31,0
U086096,086096,3,9,009,060,31,0
U086096,086096,2,52,009,060,31,0
U086096,086096,4,121,009,060,31,0
U086096,086096,4,026,009,060,31,0
U086096,086096,4,032,009,060,31,0
U086096,086096,4,020,009,060,31,0
U086096,086096,4,055,009,060,31,0
U086096,086096,4,078,009,060,31,0
U086096,086096,4,119,009,060,31,0
U086096,086096,4,065,009,060,31,0
U086096,086096,4,044,009,060,31,0
U086096,086096,4,045,009,060,31,0
U086096,086096,4,039,009,060,31,0
U028037,028037,4,004,009,060,31,0
U028037,028037,3,2,009,060,31,0
U122955,122955,4,127,009,060,31,62
U122955,122955,4,041,009,060,31,62
U122955,122955,3,6,009,060,31,62
U122955,122955,4,028,009,060,31,62
U122955,122955,4,082,009,060,31,62
U511911,511911,2,14,011,389,14,0
U511910,511910,2,14,011,389,14,0
